0
(5.111102964713052, 2.73480211241939)
(7.140761713529535, 4.828268014677473)
(8.258278006761364, 8.963111649592953)
(9.456059079688561, 0.60290691230664)
(8.98712933215771, 0.6846282474179644)
(8.611917814271013, 5.255456471367195)
(5.292884085524758, 2.608725915059167)
(5.2259621327462025, 0.41352645532357846)
(1.5338368020070003, 4.756793884833163)
(0.6634990810079944, 7.017199888328771)
(1.037122785969029, 5.124862320936239)
(8.723491441360885, 1.5611496937297598)
(6.095260592560681, 2.40070416926196)
(0.552083028367536, 9.575495906578361)
(6.690619377146547, 5.749567264385853)
(4.6996475015914, 5.563266217571911)
(4.2960075883074555, 1.314048832803325)
(4.661971966932404, 3.3983327894353677)
(3.5490810843917364, 0.4700769522880277)
(4.136409909189711, 8.107802101241477)
(8.993636057832664, 9.242279303974492)
(4.403483494504037, 0.6209969494671985)
(4.335580784834652, 8.35221762092612)
(6.409646484137235, 5.700820646986726)
(3.56139612699361, 1.0944874000540428)
(2.9639935809718665, 5.408180242179799)
(4.958529077668629, 1.086421291342552)
(3.267984511047677, 9.370061249594189)
(3.436522497131136, 8.737862169592196)
(2.227865472355708, 5.345443748577859)
(7.900242614226521, 4.530172463355062)
(8.63261078468341, 1.4250293345113896)
(7.916920260800559, 3.331317972678043)
(4.9744036120861, 7.311488864511384)
(2.613443374794555, 9.768175262455665)
(3.714861449430744, 8.553031854618308)
(8.710277497644439, 2.3530343263216413)
(6.25315289802815, 0.48289597983578236)
(0.06011864346788798, 0.5346737453632056)
(1.446557504295145, 7.808898693595669)
(9.49897619833967, 7.131679288241619)
(1.0727598560094465, 4.168339559888059)
(7.433405033615481, 5.540718393600148)
(4.401449840975, 5.692983568841983)
(7.81680390621519, 0.9226656113409515)
(1.9496190252553447, 3.261205012532886)
(0.9039225786589111, 0.9907056413445625)
(8.298213852679755, 8.917239363843443)
(8.147979141704077, 5.068597325718764)
(6.720701350909661, 0.4799766595839361)
**************************************************************
1
(8.777545543929167, 2.4773590535219303)
(5.563889141958873, 0.18242981278473236)
(5.213802706910942, 4.308347252764186)
(0.04733853347791861, 6.353673194469998)
(0.6383956757789755, 4.5266704213846065)
(2.233752493377781, 7.889888544239543)
(5.0530557437327435, 4.880876135900976)
(4.110498799644513, 0.04984228023170223)
(6.793475361440562, 8.099067673370177)
(0.34720665302380604, 0.19294366450218092)
(8.485565336052321, 8.365495372713333)
(5.560071297427598, 1.9750213341050804)
(2.5055577938622298, 5.89485428525262)
(6.946038960187366, 4.582379578490656)
(8.982778704480731, 0.14569111025821924)
(7.907185889361812, 0.4957136847030852)
(2.128448955214086, 7.780992064171228)
(7.501360388136571, 5.942969278849352)
(8.441883603428394, 8.329008969473568)
(6.1667379802119875, 2.7738784745190714)
(9.666160713021563, 0.27491834577607177)
(2.106101279386301, 6.347518409475286)
(9.825951792903172, 9.32175584674178)
(5.2357230505741885, 8.337063871855467)
(8.532608052028209, 0.7715541551845151)
(2.576383849773791, 1.187565419670904)
(8.891058793094563, 9.083937625808138)
(0.17296116886434287, 9.55999321237796)
(3.750086914486832, 0.019333904940417312)
(1.9217465149894886, 0.07058592921855178)
(6.545810385702502, 0.6832861168252169)
(1.7723817178332912, 9.924162868455682)
(8.872372368198029, 8.591112733226662)
(9.782720176981686, 6.215802959948609)
(7.293722198080825, 7.162041144333086)
(2.7077527676282442, 0.48729033173597003)
(4.446579524373511, 3.802494290230549)
(9.886485655006714, 8.880541452906174)
(6.601093107250701, 0.28713012589347997)
(6.58415520538356, 3.5388960384593426)
(8.744817223715113, 8.399236449759535)
(8.982108832350571, 0.4855875147612787)
(2.4318840721419988, 6.541918002480367)
(0.26631347474453504, 9.043505494619517)
(9.823441188409323, 7.884786952334563)
(2.568361359790321, 5.044148553273131)
(7.062256579075415, 4.752111377687598)
(4.176555124049955, 0.4781158800707419)
(5.459606121242329, 3.305055426061474)
(7.686924157664841, 7.442538420841314)
**************************************************************
2
(9.408312113296587, 2.880845182425509)
(2.9325712025416495, 8.69733485994857)
(1.698795789381069, 1.5957114756021107)
(7.575227739457064, 3.128469743198674)
(8.698551911955583, 7.948945419017015)
(6.228143857586903, 6.924464036394722)
(5.6207833074009494, 2.82377061716941)
(0.4118754145796566, 7.590264405150283)
